f -08rth78906r,Open,High,Low,Close,Adj Close,Volume,daily_ret,riskfree_ret,excess_ret
2011-01-01,115.940002,119.220001,115.480003,117.699997,97.554596,4401500,,,
2011-02-01,118.480003,123.220001,118.379997,121.779999,100.936302,2761000,3.47%,0.19%,3.28%
2011-03-01,122.279999,122.300003,114.639999,121.239998,100.488731,3866000,-0.44%,0.19%,-0.63%
2011-04-01,122.120003,124.879997,118.440002,124.800003,103.90258,2301800,3.40%,0.19%,3.21%
2011-05-01,125.440002,125.440002,120.160004,123.339996,102.687035,2454700,-1.17%,0.19%,-1.36%
2011-06-01,123.040001,123.040001,115.540001,120.68,100.47245,2549200,-2.16%,0.19%,-2.35%
2011-07-01,120.739998,124.099998,117.440002,118.199997,98.885956,2976900,-1.58%,0.19%,-1.77%
2011-08-01,119.779999,119.82,100.919998,111.68,93.43132,9424400,-5.52%,0.19%,-5.71%
2011-09-01,111.739998,112.800003,102.379997,103.519997,86.604706,4570600,-7.31%,0.19%,-7.50%
2011-10-01,102.82,118.300003,98.239998,114.639999,96.446671,8389800,11.36%,0.19%,11.17%
2011-11-01,111.540001,117.019997,106.300003,114.300003,96.160645,5038200,-0.30%,0.19%,-0.49%
2011-12-01,114.139999,118.160004,110.440002,114.900002,96.665436,7915500,0.52%,0.19%,0.33%
2012-01-01,116.900002,122,115.68,120.040001,101.59375,4406100,5.10%,0.19%,4.91%
2012-02-01,121,126.400002,120.860001,125.18,105.943909,5165600,4.28%,0.19%,4.09%
2012-03-01,125.639999,129.839996,122.900002,128.740005,108.956848,10064500,2.84%,0.19%,2.65%
2012-04-01,128.740005,130.119995,124.220001,127.919998,108.74575,9620100,-0.19%,0.19%,-0.38%
2012-05-01,127.959999,129.600006,118.559998,120.239998,102.216904,10442700,-6.00%,0.19%,-6.19%
2012-06-01,118.339996,125.300003,116.339996,124.559998,105.889374,7559400,3.59%,0.19%,3.40%
2012-07-01,124.900002,127.459999,121.32,126.059998,107.726234,8482500,1.73%,0.19%,1.54%
2012-08-01,126.879997,130.940002,124.080002,129.220001,110.426682,8237400,2.51%,0.19%,2.32%
2012-09-01,129.139999,135.580002,128.240005,131.839996,112.665634,8056700,2.03%,0.19%,1.84%
2012-10-01,132.300003,134.720001,128.539993,129.259995,111.028336,7821100,-1.45%,0.19%,-1.64%
2012-11-01,129.720001,131.580002,123.379997,130,111.663948,9390500,0.57%,0.19%,0.38%
2012-12-01,130.740005,133.320007,127.800003,130.380005,111.990364,11729500,0.29%,0.19%,0.10%
2013-01-01,132.940002,138.199997,132.559998,137.119995,118.626495,18928600,5.93%,0.19%,5.74%
2013-02-01,137.979996,140.360001,136.220001,138.940002,120.20105,16918800,1.33%,0.19%,1.14%
2013-03-01,138.320007,143.619995,137.740005,143.279999,123.955711,14609000,3.12%,0.19%,2.93%
2013-04-01,143.399994,146.279999,140.580002,146.279999,127.150978,18848400,2.58%,0.19%,2.39%
2013-05-01,145.919998,154.860001,144.779999,149.679993,130.106323,14065600,2.32%,0.19%,2.13%
2013-06-01,150.059998,152,142.660004,146.679993,127.498665,26008800,-2.00%,0.19%,-2.19%
2013-07-01,147.740005,155.619995,146.759995,154.460007,134.941528,16691300,5.84%,0.19%,5.65%
2013-08-01,155.679993,156.619995,149.339996,149.699997,130.783035,14859500,-3.08%,0.19%,-3.27%
2013-09-01,151.320007,159.039993,149.940002,154,134.539658,23482300,2.87%,0.19%,2.68%
2013-10-01,154.039993,162.619995,150.720001,160.880005,141.256927,33454000,4.99%,0.19%,4.80%
2013-11-01,161.279999,166.509995,160.100006,165.699997,145.489044,26113000,3.00%,0.19%,2.81%
2013-12-01,165.949997,169.229996,162.009995,169.149994,148.518234,31082700,2.08%,0.19%,1.89%
2014-01-01,168.529999,169.429993,162.070007,163.179993,144.055725,29636000,-3.00%,0.19%,-3.19%
2014-02-01,163.020004,171.470001,159.179993,170.630005,150.632645,24164200,4.57%,0.19%,4.38%
2014-03-01,169.190002,173.190002,168.380005,171.350006,151.268219,24621000,0.42%,0.19%,0.23%
2014-04-01,171.869995,173.820007,166.110001,172.589996,153.058502,27491700,1.18%,0.19%,0.99%
2014-05-01,172.5,176.690002,170.440002,176.550003,156.570404,20604100,2.29%,0.19%,2.10%
2014-06-01,176.830002,180.570007,175.940002,179.429993,159.124405,19356700,1.63%,0.19%,1.44%
2014-07-01,179.880005,182.5,176.960007,176.960007,157.640701,18901400,-0.93%,0.19%,-1.12%
2014-08-01,176.520004,184.169998,174.699997,183.990005,163.903198,23864300,3.97%,0.19%,3.78%
2014-09-01,184.300003,185.839996,179.770004,180.589996,160.87439,17064700,-1.85%,0.19%,-2.04%
2014-10-01,180.339996,185.050003,166.850006,184.929993,165.524948,47152300,2.89%,0.19%,2.70%
2014-11-01,185.199997,190.630005,183.449997,190.029999,170.089752,27698100,2.76%,0.19%,2.57%
2014-12-01,189.289993,191.630005,181.440002,188.399994,168.630829,49040300,-0.86%,0.19%,-1.05%
2015-01-01,189.289993,189.720001,182.089996,182.990005,164.70108,51629600,-2.33%,0.19%,-2.52%
2015-02-01,183.5,194.649994,181.470001,193.199997,173.890625,30737100,5.58%,0.19%,5.39%
2015-03-01,193.309998,194.470001,187.149994,189.199997,170.290375,35632400,-2.07%,0.19%,-2.26%
2015-04-01,189.169998,194.740005,187.470001,191.100006,172.878052,30252000,1.52%,0.19%,1.33%
2015-05-01,191.960007,195.949997,189.529999,193.490005,175.040176,25759100,1.25%,0.19%,1.06%
2015-06-01,194.229996,195.529999,188.240005,188.839996,170.833527,32509600,-2.40%,0.19%,-2.59%
2015-07-01,190.649994,195.460007,187.190002,192.949997,175.36763,35084700,2.65%,0.19%,2.46%
2015-08-01,193,193.75,168.080002,181.110001,164.606567,75872400,-6.14%,0.19%,-6.33%
2015-09-01,177.110001,185.990005,171.360001,175.710007,159.698639,57666300,-2.98%,0.19%,-3.17%
2015-10-01,175.970001,192,173.350006,190.559998,174.116623,38175300,9.03%,0.19%,8.84%
2015-11-01,190.979996,194.059998,185.360001,191.369995,174.85675,38629500,0.43%,0.19%,0.24%
2015-12-01,192.050003,193.449997,183.309998,186.929993,170.799789,62486000,-2.32%,0.19%,-2.51%
2016-01-01,183.770004,185.119995,165.960007,177.75,163.379501,82617200,-4.34%,0.19%,-4.53%
2016-02-01,176.610001,180.360001,166.050003,177.380005,163.039383,54708700,-0.21%,0.19%,-0.40%
2016-03-01,178.839996,189.720001,178.330002,188.559998,173.315521,50007300,6.30%,0.19%,6.11%
2016-04-01,187.399994,193.429993,186.259995,189.220001,174.855621,42415400,0.89%,0.19%,0.70%
2016-05-01,189.809998,193.270004,185.970001,192.539993,177.923584,38163000,1.75%,0.19%,1.56%
2016-06-01,191.880005,194.949997,182.270004,192.199997,177.60939,61825000,-0.18%,0.19%,-0.37%
2016-07-01,192.089996,199.600006,189.970001,199.279999,185.07222,41945100,4.20%,0.19%,4.01%
2016-08-01,199.330002,201.509995,196.880005,199.520004,185.295105,43949700,0.12%,0.19%,-0.07%
2016-09-01,199.5,201.149994,194.119995,198.690002,184.524261,44978100,-0.42%,0.19%,-0.61%
2016-10-01,198.179993,198.949997,193.919998,195.130005,182.027924,33929400,-1.35%,0.19%,-1.54%
2016-11-01,195.520004,203.690002,191.320007,202.399994,188.809753,52732400,3.73%,0.19%,3.54%
2016-12-01,202.679993,209.699997,201.240005,205.309998,191.524384,52301600,1.44%,0.19%,1.25%
2017-01-01,206.679993,210.899994,205.559998,208.970001,196.157486,57281100,2.42%,0.19%,2.23%
2017-02-01,209.619995,217.899994,208.229996,217.070007,203.760849,35460000,3.88%,0.19%,3.69%
2017-03-01,218.899994,220.660004,212.619995,216.350006,203.085007,47641500,-0.33%,0.19%,-0.52%
2017-04-01,216.509995,219.899994,213.470001,218.600006,206.151413,39168600,1.51%,0.19%,1.32%
2017-05-01,219.160004,222.240005,216.130005,221.669998,209.046555,40652300,1.40%,0.19%,1.21%
2017-06-01,222.139999,225.770004,220.419998,222.059998,209.414368,43549300,0.18%,0.19%,-0.01%
2017-07-01,223.089996,227.779999,220.720001,226.639999,214.701614,37712000,2.52%,0.19%,2.33%
2017-08-01,227.300003,228.619995,222.119995,227.300003,215.326859,37622400,0.29%,0.19%,0.10%
2017-09-01,227.759995,230.899994,224.979996,230.759995,218.604614,33381500,1.52%,0.19%,1.33%
2017-10-01,231,236.880005,230.910004,236.130005,224.837509,33049800,2.85%,0.19%,2.66%
2017-11-01,237.029999,244.399994,234.820007,243.350006,231.712204,43311300,3.06%,0.19%,2.87%
2017-12-01,243.25,248.009995,239.520004,245.289993,233.559418,44190300,0.80%,0.19%,0.61%
2018-01-01,246.149994,263.369995,245.740005,258.98999,247.791992,63544700,6.09%,0.19%,5.90%
2018-02-01,258.290009,260.119995,232.419998,249.339996,238.559235,88662700,-3.73%,0.19%,-3.92%
2018-03-01,249.529999,257.709991,237.529999,242.080002,231.613144,63873500,-2.91%,0.19%,-3.10%
2018-04-01,241.190002,249.220001,233.919998,242.919998,233.479858,57319400,0.81%,0.19%,0.62%
2018-05-01,242.449997,251.940002,237.919998,248.789993,239.121719,43981400,2.42%,0.19%,2.23%
2018-06-01,250.229996,256.769989,246.630005,249.509995,239.813721,54654400,0.29%,0.19%,0.10%
2018-07-01,247.559998,261.25,247.320007,258.399994,249.519852,45574600,4.05%,0.19%,3.86%
2018-08-01,258.640015,268.049988,256.480011,266.720001,257.553925,49555700,3.22%,0.19%,3.03%
2018-09-01,266.350006,270.670013,263.450012,267.049988,257.872589,48732300,0.12%,0.19%,-0.07%
2018-10-01,268.459991,269.470001,238.789993,248.789993,241.325638,91439900,-6.42%,0.19%,-6.61%
2018-11-01,249.630005,258.440002,241.729996,253.479996,245.874939,61115400,1.89%,0.19%,1.70%
2018-12-01,257.649994,257.73999,214.830002,229.809998,222.9151,128542800,-9.34%,0.19%,-9.53%
2019-01-01,226.179993,248.529999,223.970001,248.009995,241.871445,81247700,8.50%,0.19%,8.31%
2019-02-01,248.309998,258.609985,246.199997,256.070007,249.731995,57656000,3.25%,0.19%,3.06%
2019-03-01,257.809998,262.589996,250.339996,259.540009,253.116058,62970600,1.36%,0.19%,1.17%
2019-04-01,261.459991,270.410004,261.190002,270.01001,264.809235,41351400,4.62%,0.19%,4.43%
2019-05-01,270.679993,270.869995,252.770004,252.869995,247.999374,72318000,-6.35%,0.19%,-6.54%
2019-06-01,252.830002,272.790009,250.770004,269.149994,263.96579,48686500,6.44%,0.19%,6.25%
2019-07-01,272.459991,277.549988,270.299988,273.079987,269.211731,55490400,1.99%,0.19%,1.80%
2019-08-01,273.279999,276.279999,258.700012,268.600006,264.795227,76101400,-1.64%,0.19%,-1.83%
2019-09-01,266.829987,277.980011,265.679993,272.600006,268.738556,45894200,1.49%,0.19%,1.30%
2019-10-01,273.440002,279.690002,261.589996,278.549988,275.911346,52876500,2.67%,0.19%,2.48%
2019-11-01,280.049988,289.779999,279.910004,288.649994,285.915649,43686600,3.63%,0.19%,3.44%
2019-12-01,289.029999,297.51001,282.100006,295.799988,292.997925,56497300,2.48%,0.19%,2.29%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,mean,0.01091552661,,0.01091552661,,0.01091552661,,
,,stddv,0.03439014409,0.03439014409,,,,,
,,,,,,,,,
,,,0.001217087806,,,,,,